国家/地区,点击次数,展示,点击率,排名
美国,251,9817,2.56%,12.92
中国香港,144,3734,3.86%,13.54
中国,94,2056,4.57%,13.6
日本,64,2327,2.75%,10.54
马来西亚,56,920,6.09%,15.62
柬埔寨,49,1729,2.83%,10.08
新加坡,40,945,4.23%,13.05
英国,37,1106,3.35%,10.7
缅甸,22,482,4.56%,12.16
韩国,21,450,4.67%,12.26
加拿大,17,613,2.77%,10.91
台湾,17,448,3.79%,27.56
德国,14,576,2.43%,11.45
泰国,10,458,2.18%,11.92
荷兰,9,207,4.35%,12.1
澳大利亚,8,313,2.56%,12.25
越南,7,121,5.79%,15.31
法国,6,389,1.54%,10.53
未知地区,6,159,3.77%,9.58
西班牙,6,146,4.11%,14.77
印度尼西亚,5,51,9.8%,21.86
澳门,4,18,22.22%,8.72
老挝,3,415,0.72%,10.95
菲律宾,3,137,2.19%,17.99
意大利,3,58,5.17%,20.5
瑞典,3,56,5.36%,11.5
伊朗,3,41,7.32%,15
瑞士,3,16,18.75%,17.88
波兰,2,58,3.45%,15.97
土耳其,2,41,4.88%,24.73
比利时,2,26,7.69%,10.08
捷克,2,5,40%,8.6
印度,1,94,1.06%,24.21
墨西哥,1,56,1.79%,19.36
保加利亚,1,26,3.85%,10.65
南非,1,21,4.76%,28.95
白俄罗斯,1,11,9.09%,21.82
多米尼加共和国,1,7,14.29%,22.71
古巴,1,6,16.67%,9.17
尼加拉瓜,1,4,25%,19.75
挪威,1,3,33.33%,9
特克斯和凯科斯群岛,1,2,50%,26.5
巴西,0,352,0%,30.31
乌克兰,0,85,0%,39.44
俄罗斯,0,84,0%,28.38
阿拉伯联合酋长国,0,49,0%,15.82
伊拉克,0,48,0%,24.5
沙特阿拉伯,0,43,0%,24.88
阿根廷,0,40,0%,28.15
委内瑞拉,0,27,0%,26.81
阿尔及利亚,0,23,0%,8.87
希腊,0,20,0%,9.6
巴基斯坦,0,20,0%,19.7
新西兰,0,17,0%,10.82
爱沙尼亚,0,16,0%,8
几内亚比绍,0,16,0%,34.94
巴拉圭,0,15,0%,20.27
哥伦比亚,0,15,0%,25.8
阿尔巴尼亚,0,14,0%,10.93
以色列,0,14,0%,17.43
乌兹别克斯坦,0,14,0%,23.93
摩洛哥,0,14,0%,29.64
匈牙利,0,13,0%,11
厄瓜多尔,0,13,0%,20.31
埃及,0,13,0%,25.38
智利,0,13,0%,29.92
爱尔兰,0,12,0%,24.75
突尼斯,0,11,0%,17.45
罗马尼亚,0,11,0%,23.36
乌拉圭,0,10,0%,21.2
摩尔多瓦,0,9,0%,22.67
牙买加,0,9,0%,23.67
埃塞俄比亚,0,9,0%,28.78
特立尼达和多巴哥,0,9,0%,31.44
巴拿马,0,9,0%,31.89
奥地利,0,8,0%,9
约旦,0,7,0%,21
哥斯达黎加,0,7,0%,22.86
芬兰,0,7,0%,30.29
肯尼亚,0,7,0%,33.14
秘鲁,0,7,0%,48.29
加纳,0,6,0%,12.67
波多黎各,0,6,0%,21.17
科威特,0,6,0%,27.33
尼泊尔,0,6,0%,30.17
葡萄牙,0,5,0%,16.6
尼日利亚,0,5,0%,18.2
安哥拉,0,5,0%,19.8
巴勒斯坦,0,5,0%,26.8
塞尔维亚,0,5,0%,27.2
丹麦,0,4,0%,4.5
吉尔吉斯斯坦,0,4,0%,21.25
洪都拉斯,0,4,0%,23
孟加拉,0,4,0%,26.25
阿曼,0,4,0%,30.75
塞内加尔,0,4,0%,33.25
阿塞拜疆,0,4,0%,47.75
坦桑尼亚,0,3,0%,13.33
圭亚那,0,3,0%,16
拉脱维亚,0,3,0%,16
巴林,0,3,0%,23.33
刚果 - 布拉柴维尔,0,3,0%,23.67
塞浦路斯,0,3,0%,30.67
巴巴多斯,0,3,0%,40.67
卢森堡,0,2,0%,6.5
库拉索,0,2,0%,8.5
塞拉利昂,0,2,0%,10.5
博茨瓦纳,0,2,0%,11
英属维尔京群岛,0,2,0%,11
萨尔瓦多,0,2,0%,17
叙利亚,0,2,0%,17.5
蒙古,0,2,0%,20
科特迪瓦,0,2,0%,21.5
哈萨克斯坦,0,2,0%,22.5
玻利维亚,0,2,0%,27
危地马拉,0,2,0%,31.5
莱索托,0,1,0%,4
法罗群岛,0,1,0%,5
法属圭亚那,0,1,0%,5
波斯尼亚和黑塞哥维那,0,1,0%,8
马尔代夫,0,1,0%,8
莫桑比克,0,1,0%,9
黑山,0,1,0%,10
土库曼斯坦,0,1,0%,10
文莱,0,1,0%,11
纳米比亚,0,1,0%,11
巴哈马,0,1,0%,13
卡塔尔,0,1,0%,14
格林纳达,0,1,0%,17
黎巴嫩,0,1,0%,18
巴布亚新几内亚,0,1,0%,18
伯利兹,0,1,0%,21
布基纳法索,0,1,0%,22
安提瓜和巴布达,0,1,0%,23
利比亚,0,1,0%,24
曼岛,0,1,0%,25
马达加斯加,0,1,0%,30
瓜德罗普,0,1,0%,40
格鲁吉亚,0,1,0%,55
亚美尼亚,0,1,0%,95
